organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act	number_records	gb_records	bags_grade	species_status	bin_uris	otu_ids	other_names
NBNORG0000028521	NBNSYS0000163438	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Onopordum	Onopordum nogalesii	Svent.	Species		Y																																										0	0	F	BLACK			
NBNORG0000046592	NBNSYS0200002744	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Onopordum	Onopordum tauricum	Willd.	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000029219	NBNSYS0000173068	Plantae	Tracheophyta				Onosma	Onosma halophila	Boiss. & Heldr.	Species		Y																																										0	0	F	BLACK			
NBNORG0000028438	NBNSYS0000163345	Plantae	Tracheophyta				Onosma	Onosma polyphylla	Lebed.	Species		Y																																										0	0	F	BLACK			
NBNORG0000028439	NBNSYS0000163346	Plantae	Tracheophyta				Onosma	Onosma proponticum	Aznav.	Species		Y																																										0	0	F	BLACK			
NBNORG0000028440	NBNSYS0000163347	Plantae	Tracheophyta				Onosma	Onosma tornensis	Javorka	Species		Y																																										0	0	F	BLACK			
NBNORG0000028441	NBNSYS0000163348	Plantae	Tracheophyta				Onosma	Onosma troodi	Kotschy	Species		Y																																										0	0	F	BLACK			
NBNORG0000017527	NBNSYS0000023531	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Ontholestes	Ontholestes murinus	(Linnaeus, 1758)	Species	Leistotrophus murinus		Y					1				predator	predator	open habitats	tall sward & scrub	dung & carrion, soil humidity >> variable humidity			Mammalia																									0	0	F	BLACK			
NBNORG0000088926	NHMSYS0001719294	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Ontholestes	Ontholestes tessellatus	(Geoffroy in Fourcroy, 1785)	Species	Leistotrophus nebulosus		Y					1				predator	predator	open habitats	tall sward & scrub	dung & carrion, soil humidity >> variable humidity			Mammalia																									0	0	F	BLACK			
NBNORG0000088932	NBNSYS0000011523	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Onthophagus	Onthophagus coenobita	(Herbst, 1783)	Species	Onthophagus (Paleonthophagus) coenobita		Y					1		LC	IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity													RedList_GB_post2001-LC															0	0	F	BLACK			
NBNORG0000088933	NBNSYS0000011524	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Onthophagus	Onthophagus fracticornis	(Preyssler, 1790)	Species	Onthophagus (Paleonthophagus) fracticornis;Onthophagus similis		Y					8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity													RedList_GB_post2001-VU			NR-includes												0	0	F	BLACK			
NBNORG0000117626	NHMSYS0021232999	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Onthophagus	Onthophagus illyricus	(Scopoli, 1763)	Species	Onthophagus (Onthophagus) illyricus	Y	Y																																									0	0	F	BLACK			
